,From,To,Time (min)
722,URB Las Palmas Cerro Gordo,Doonan Corners,535
723,Comunidad Manantial,Walnut,688
724,Ext La Inmaculada,Audubon,732
725,Ext Santa Rita,Dumfries,643
726,URB La Inmaculada,Lake Barrington,847
727,URB Puesta Del Sol,URB El Legado Golf Resort,132
728,URB Santa Ana,Minnewaukan,66
729,URB Santa Rita,Oregon State Univ,565
730,Alts De Cerro Gordo 1&2,Crosby,56
731,Alts De Cerro Gordo 3&4,Echols,478
732,URB La Inmaculada Ct,East Pharsalia,635
733,URB Treasure Pt,Calpine,320
734,Bo Brenas,Lake Tamarack,221
735,Est San Nicolas,Como,82
736,Ext Santa Ana,Oakland Intrntl Service Ctr,326
737,Vistas De La Vega,Low Ground,870
738,Hacienda El Molino,Tucson,484
739,URB Isomar,Hockingport,168
740,URB Sierra Maestra,Tahawus,295
741,Est Cerro Gordo,Grangeburg,642
742,Est Del Valle,White Hall,868
743,Ext La Esperanza,Salineno,59
744,Ext Santa Maria,Bedford,928
745,Parc Carmen,Gm Tech Center,566
746,URB La Esperanza,Warrensville,816
747,Villa Linares,E Franklin,110
748,URB Grand Palm Ii,Dawn,485
749,Bda Corea,Lecoma,867
750,Ext Sanchez,Brooksville,92
751,Parc Ponderosa,Farnham,57
752,URB Cerro Gordo Hls,Royal Plm Beach,989
753,URB Velomas,Scipioville,205
754,URB Brasilia,Boston,211
755,URB Los Almendros,Harrison,341
756,Villa Pinares,Reading Center,383
757,Villa Real,Athol,205
758,Bda Collazo,Haswell,256
759,Bda Sandin,Vineland,997
760,Bo Algarrobo,Oilton,757
761,Bo Carmelita,Mangohick,974
762,Bo Pueblo Nuevo,Tonka Bay,18
763,Ciudad Real,Rosebud,855
764,Comunidad Bethel,Dalton,183
765,URB La Cruv,Heflin,267
766,URB San Demetrio,Gavilan,959
767,URB Vega Serena,Roelyn,119
768,Villa Del Rosario,Travisville,672
769,Alt De Vega Baja,North Chicago,454
770,Bo Las Granjas,W Saint Paul,316
771,Hacienda La Arboleda,Wachovia,901
772,Sect Miraflores,Milan,788
773,URB El Verde,Elton,97
774,URB Los Hucares,Coarsegold,450
775,URB Monte Carlo,Rheems,924
776,URB Ocean Front,Eaton,184
777,URB San Agustin,Glenn Springs,212
778,URB Vega Baja Lakes,Harrisburg,444
779,Brisas De Tortuguero,Milford,870
780,Est De Tortuguero,Breaks,303
781,Parc Amadeo,N Las Vegas,395
782,Sect Brisas Del Rosario,Anderson Acres,186
783,URB Guarico,Mercersburg,305
784,Bo La Trocha,Camby,347
785,Bo Yeguada,Mason,449
786,Brisas Del Mar,Laguna Hills,24
787,Repto Sobrino,Meadow Gap,987
788,Sect El Lido,Cypress Mill,473
789,URB Camino Del Sol,Rawlings,927
790,URB Ciara Del Sol,Lynxville,566
791,URB El Rosario,Essex,873
792,Villa Los Pescadores,Southeastern,535
793,Vista Verde,Knox,219
794,Sect Arenales,Kenmare,551
795,Sect Lomba,Lone Jack,215
796,URB Las Delicias,Ravia,651
797,URB Las Flores,N Grosvenordl,405
798,URB San Vicente,Moose River,374
799,Villa Rosa 2,E Wallingford,240
800,Vega Baja,West Line,951
801,Ext Ocean Front,N Sullivan,585
802,Haciendas De Monteverde,Marion,269
803,Villas De La Playa,Fort Calhoun,443
804,Bo Ojo De Agua,Kenedy,544
805,Colinas Del Marquez,Solon,167
806,Jard De Vega Baja,Mt Carroll,366
807,URB Cabo Caribe,Burnt Chimney,779
808,Res Barinas,Derwood,315
809,Sect Las Pelas,Mass Mutual Life Ins Co,388
810,URB El Rocio,Nadeau,358
811,Alts Del Cafetal,Gibraltar,235
812,Bo Alto De Cuba,Mavisdale,150
813,Ext Alts De Yauco,Proctor,624
814,Ext Alts De Yauco Ii,Keeler Bay,80
815,Jard De Montblanc,N Sullivan,282
816,URB Buena Vista,Ambler,524
817,URB El Rosario,Fannett,886
818,URB Luchetti,Villa Andalucia,515
819,URB San Francisco,Plainfield Center,125
820,Alts De Yauco,Lone Rock,563
821,Bda Galarza,City Of Wilkes Barre,218
822,Bo Palomas,Oakwood,772
823,Haciendas Florida,Dingle,949
824,Qtas De Valle Verde,Pointer,562
825,URB Mifedo,Owens Illinois,973
826,Villa Milagros,Plumtree,443
827,URB Hill View,Blue Goose,435
828,URB La Quinta,Fine,996
829,URB Los Pinos,West Millbury,145
830,Vista Real,Greenmountain,57
831,Yauco,Circle,712
832,Sect Pueblo Nuevo,Fort Collins,761
833,URB Turnkey,Sepulpa,197
834,Est De Yauco,Childwold,326
835,Jard De Borinquen,Hannersville,596
836,Repto Esperanza,Mormon Lake,915
837,Sect La Vega,Magnolia Springs,658
838,URB Barinas,Silver Spring,138
839,URB Roosevelt,Jard De Casablanca,724
840,Villa Olimpia,Musk,679
841,Villas Del Cafetal,Venetian Islands,738
842,Villas Del Cafetal Ii,Bluff Park,849
843,Bda Las Delicias,Echols,672
844,Bda Lluberas,Magna,300
845,Est De Yodimar,Shady Shores,843
846,Jard M Blanco,Sagamore,587
847,URB Costa Sur,Manfred,453
848,URB Monteverde,Conyers,96
849,Vistas De Monte Sol,Frankenstein,877
850,Colinas De Yauco,Cloverdale,884
851,URB Los Angeles,Laketown,445
852,Vistas Del Palmar,South Windham,286
853,Aguas Buenas,Wood,550
854,Mans De Aguas Buenas,Bryn Mawr,423
855,URB San Antonio,Welaka,182
856,Est Del Rio,Eden Valley,274
857,Parc Cabasa,S Portland,163
858,Sect Lanausse,Little Mtn,353
859,URB Eugene Rice,Lacey,351
860,URB La Fabrica,Bourbon,771
861,Aguirre,Dunn,120
862,Est De Trinitaria,Yancey Mills,845
863,Parc Parque,Sylvan,603
864,Villas Del Coqui,West Newbury,780
865,URB Gonzalez,Abilene Christian Univ,947
866,Ext El Coqui,Cal Nev Ari,623
867,Paseo Costa Del Sur,North Corners,893
868,URB Monte Soria 2,Swett,933
869,Colinas De San Francisco,E Greenwich,709
870,Bda San Luis,Mount Olive,558
871,URB Bella Vista,Fort Chaffee,237
872,Villa Rosales,Hurley,841
873,Ext Bella Vista,Mount Zion,814
874,URB Golden Vlg Iv,Mgm Properties,257
875,Villa De La Rosa,Limestone Hill,56
876,Brisas De Aibonito,Midway,421
877,Est Del Llano,Hubbardsville,438
878,URB Buena Vista,Merriman,778
879,Bo Llanos,Vidal,45
880,Repto Robles,Conway,748
881,Villas Del Coqui,Niota,31
882,Ext Villa Rosales,Erda,922
883,URB La Providencia,Lavale,172
884,Aibonito,Herndon,54
885,Ext San Luis,Commercial Accounts,148
886,URB San Pedro,Sidell,745
887,Brisas De Emajaguas,Grand View,761
888,Villa Alegre,Lima,598
889,Jard Los Almendros,Davidson,915
890,Villas De Maunabo,Wheatley Heights,641
891,Maunabo,Mountain,390
892,Repto Bello Mar,Plato,989
893,URB Arroyo Del Mar,Greentown,988
894,URB San Antonio,URB Sabana Llana,503
895,Jard De Lafayette,Ft Worth,353
896,Arroyo,Fruit Heights,774
897,Qtas De Guasima,Parq De Torrimar,797
898,URB Las 500,Fresno Bee,320
899,URB Miramar 1,Moss Bluff,754
900,Ext Jard De Arroyo,Bausman,836
901,URB Palmar 2,Walnut,29
902,Jard De Arroyo,Uncertain,915
903,Villas De Lafayette,North Broadalbin,710
904,Parq De Guasimas,Waterloo,621
905,URB Belinda,Bradley International Airpor,90
906,Central Mercedita,Marcellus Falls,272
907,Bo Calzada,Crescent Spgs,367
908,Mercedita,N Bellport,456
909,Bo La Cuarta,Ames,969
910,Ponce,Fairview,512
911,Brisas De Maravilla,Henning,637
912,Ponce,Lay,573
913,Bo Tenerias,Rivermont,700
914,Ext Alhambra,Stanford,171
915,Parc Amalia Marin,Afton,409
916,Parc Sabanetas,Clarksville,812
917,URB Costa Caribe,Kahneeta,347
918,Villa Flores,Cullen,74
919,Bo Bucana,Vonachen Knolls,724
920,Sect Playita,Rosetta,905
921,URB Alhambra,Soldier Grove,840
922,URB Anaida,Kiel,423
923,URB Los Almendros,Woodcrest,627
924,URB Los Caobos,Husum,30
925,URB Santa Clara,Inglefield,301
926,Bo Campo Alegre,Green Valley,62
927,URB Flamboyanes,Crab Orchard,707
928,URB Sagrado Corazon,Montgomry Vlg,194
929,Villa De Juan,Ravencliff,738
930,Vista Point,Aberdeen,185
931,Mercedita,Nimmonsburg,443
932,Ext Villa Del Carmen,Sanitorium,605
933,URB Bella Vista,Bo Volcan,672
934,URB Camino Del Sur,Spring Creek,586
935,URB Las Monjitas,S Naknek,411
936,Est Del Carmen,Walnut Hts,342
937,Repto Sabanetas,May,842
938,Villa Esperanza,Victor,629
939,Ext Alta Vista,Pt Lookout,272
940,Jard Fagot,Etna,393
941,Valle Real,Arthur,128
942,Villa Del Sagrado Corazon,Little Plymth,598
943,Villa Pampanos,Freemans Mills,232
944,Comunidad Tabaiba,Haslett,502
945,Repto Anaida,Ellisville,525
946,Sect Los Potes,W Peterboro,187
947,Sect Salistral,Pleasant Ridge,455
948,URB Alhambra Ct,E Windsor Hl,851
949,URB El Monte,Castle Hill,857
950,URB San Tomas,Sloansville,190
951,Villa Tabaiba,Chuuk,729
952,Bo Sabanetas,Rosier,682
953,Jard Alhambra,Limestone,709
954,Parq Del Rio,Battle Creek,313
955,URB Alta Vista,Nesconset,386
956,URB Costa Sabana,San Luis,194
957,Valle Verde,Lake Lincolnd,354
958,Villa Del Carmen,Gordonville,785
959,Vistas Del Mar,Offutt,873
960,Repto Universitario,Albany,251
961,URB San Jorge,White Bear Lake,323
962,Bda Belgica,Ridley,741
963,Bda Santa Rosa,Jackson,628
964,URB El Bosque,Sangre De Cri,718
965,URB Los Maestros,Elmhurst,883
966,URB Santa Maria,Gorman,451
967,URB San Antonio,Wyndmoor,248
968,URB Starlight,Presidio Of Monterey,70
969,Bda Mariani,Bradley,203
970,Bo Caracoles,Oak Island,107
971,URB Mariani,East Setauket,922
972,Bda Salazar,Fowler,831
973,URB Mercedita,Davisburg,801
974,URB Perla Del Sur,New Hope,639
975,URB Constancia,Queens,63
976,Villa Grillasca,Oakwood,783
977,Bo Cuatro Calles,Mount Carbon,50
978,Ext Salazar,Richmond Hill,593
979,URB Patio Laboy,Orchard Hill,572
980,Vista Alegre,Freedom,130
981,Bo San Anton,Freeman,927
982,URB Buena Vista,Utica,338
983,URB Constancia Gdns,Jard Treasure Island,697
984,Hacienda Grande,Swansea,380
985,URB Casabella,Daytona Beach Shores,669
986,Brisas De Naguabo,Rapatee,247
987,Repto Santiago,Sorrento,803
988,Naguabo,Parrish,501
989,Jard Del Este,Kaplan,926
990,URB Ramon Rivero,Sect Punta Brava,941
991,Villa Del Rosario,Hager City,734
992,URB City Palace,Courtland,9
993,Jard De La Via,Danburg,548
994,URB Promised Land,Pillar Point,162
995,Jard De Esperanza,Spur,706
996,Mans Playa Hucares,City Hall,829
997,URB Diplo,Hacienda Paloma Ii,748
998,URB Santo Tomas,High Shoals,229
999,URB Juan Mendoza,Kaktovik,242
1000,Jard De Naranjito,Bridgeville,370
1001,Naranjito,Randalls Island,199
1002,Orocovis,Elbert,72
1003,Alt De Orocovis,Lakepark,796
1004,URB Santa Teresita,Wausau,981
1005,Villas De Orocovix I,Kiln,215
1006,Villas De Orocovix Ii,Catlin,386
1007,Palmer,Allenville,462
1008,Rio Grande,Gold Canyon,580
1009,Jard De Patillas,South Norfolk,565
1010,Portales De Jacaboa,Spelter,803
1011,Patillas,Lake,424
1012,Jard De Mamey,Summit,832
1013,URB San Benito,Pleasanton,64
1014,Valle Alto,Windom,249
1015,URB San Jose,Franklin,235
1016,URB San Martin,URB Mendez,24
1017,URB Mariani,First Citizens Bank,935
1018,Valle De La Providencia,Everton,127
1019,Parq Del Sol,East Brooklyn,146
1020,Villas De Patillas,Barbourville,716
1021,URB El Paraiso,Hawleyville,715
1022,Ext Caguax,Greenwood-Leflore Airport,195
1023,Qtas De San Luis 1,Dalark,61
1024,Qtas De San Luis 2,Shoals,523
1025,Res Bairoa,Frankston,891
1026,URB Billy Suarez,Cumb Foreside,727
1027,URB Caguas Milenio,Colmar,859
1028,URB Mariolga,Matthews,581
1029,Lomas De La Serrania,Archers Lodge,853
1030,URB Borinquen Valley,Poultney,206
1031,URB Bunker,Stanhope,693
1032,URB La Granja,Warrensville Heights,435
1033,URB Notre Dame,Weber State University,155
1034,Valle De San Luis,Shawnee Mission,479
1035,Villa Carmen,Roland Park,717
1036,Villa Guadalupe,Grasston,59
1037,Villa Las Mercedes,White Pass,191
1038,Caguas,Salt Flat,819
1039,Est El Verde,Westphalia,611
1040,Ext El Verde,East Bridgewater,590
1041,URB Bonneville Gdns,Deer Isle,807
1042,URB Caribe Gdns,Forestport Station,139
1043,URB Condado Moderno,Mount Airy,230
1044,URB Santa Cecilia,Millry,908
1045,URB Santa Elvira,Elliott,469
1046,URB Santa Juana,Freeman,697
1047,URB Santa Rosa,Hanover,75
1048,URB Verde Sur,Timbrline Ldg,228
1049,Villas De Rio Verde,Citicorp,52
1050,Brisas Del Parque Ii,Conrad,189
1051,Repto Caguax,New Holland,580
1052,URB Brooklyn,Nineveh,6
1053,URB Caguas Norte,Butztown,273
1054,URB Condado Viejo,Barkersville,805
1055,URB Grillo,Long Lane,990
1056,URB Nazario,Defuniak Spgs,35
1057,URB Santa Juana 4,Menomonee Falls,654
1058,URB Santo Domingo,Centerton,784
1059,Villa Del Rey 1,Clinton,535
1060,Villa Victoria,Columbus,732
1061,Brisas Del Parque I,Bracht,284
1062,Hacienda Borinquen,Prichard,80
1063,Terr De Borinquen,Cochise,583
1064,URB Balcones Las Catalinas,Clayton Junction,206
1065,URB La Meseta,Beech Island,472
1066,URB Paradise,Fairhaven,741
1067,URB San Antonio,Bow,554
1068,URB San Marcos,Gilboa,722
1069,Villa Maria,New Germantown,875
1070,Villas Del Rio Verde,Shadyside,776
1071,Alt De Caguas,West Tremont,219
1072,Alt Del Turabo,Tekoa,171
1073,Ext La Granja,Mount Hood,582
1074,Qtas De Villa Blanca,Stony Creek,32
1075,URB El Retiro,Rockwood,166
1076,URB El Rincon De La Serrania,Brown Station,736
1077,URB El Verde,Northstar,234
1078,URB Jose Mercado,Hide A Way,133
1079,URB San Pedro Est,Citicorp,48
1080,URB Santa Juana 2,Stringtown,906
1081,URB Santa Juana 3,Cowdrey,825
1082,Villa Borinquen,West Liberty,492
1083,Villa Del Rey 2,Ballwin,196
1084,Villa Los Criollos,Central Park,541
1085,Bda Morales,Ronok Rpd Afs,660
1086,Bosques De La Sierra,Laguna Park,949
1087,Jard Pla,Tensas Bluff,432
1088,URB Jose Delgado,Fosterville,774
1089,URB Monticielo,Mac Mahan,122
1090,URB Myrlena,Summitville,515
1091,URB San Alfonso,Parc Punta Palmas,772
1092,Valles Del Lago,Union Point,22
1093,Villa Blanca,Stonington,65
1094,Villa Turabo,Kenmore,280
1095,Ext Villa Blanca,Univ Of So Florida,601
1096,Parq Las Mercedes,Elizabeth,670
1097,Paseo Del Rio,Lansing,301
1098,Repto Solano,Spokane Valley,731
1099,URB Batista,Shooks,459
1100,URB Bonneville Terr,Sandy Hook,871
1101,URB Machin,Buffalo Junction,912
1102,URB San Rafael,Bladenboro,259
1103,Villa De Castro,Pinehurst,943
1104,URB Bairoa Golden Gate Ii,Poultney,490
1105,URB Islabella,Blackwood Ter,695
1106,Villa Del Rey 4,Mountain Ranch,505
1107,Alt De La Fuente,Gleniron,350
1108,Hacienda San Jose,Saint Nazianz,400
1109,Sect Altos De La Fuente,Bexley,986
1110,URB Altomonte,Concord,573
1111,URB Idamaris Gdns,Berkshire Heights,638
1112,URB Mirador De Bairoa,Otterville,385
1113,Valle Tolima,Okesa,443
1114,Alt Villa Del Rey,Watertown,5
1115,Est De Bairoa,Russell Island,474
1116,Est Degetau,East Prospect,883
1117,URB Bonneville Hts,Lone Star,252
1118,URB Bonneville Manor,W Caldwell,564
1119,URB Bonneville Vly,Arcadia,667
1120,URB Las Nubes,South Twigg,134
1121,URB Palmas Del Turabo,Totowa Boro,857
1122,URB Terralinda,Sinsheim,38
1123,Villa Caliz,Benoit,260
1124,Ciudad Jardin De Bairoa,Ozone,334
1125,Villa Nueva,Old Union,814
1126,Chalets De Bairoa,Jamestown,661
1127,Jard De Caguas,Clarksburg,335
1128,Mans El Paraiso,Beaver Lake,444
1129,Parq Del Monte 2,Preemption,215
1130,URB Bairoa Golden Gates,Spencer,326
1131,URB Diamond Vlg,Caspiana,884
1132,URB La Reserva,Assembly Point,937
1133,Valle Verde,Newsoms,233
1134,Villa Del Rey 5,Interlachen,530
1135,Villa Hermosa,Vienna,186
1136,Bosque Verde,Lakeville,991
1137,Parq Del Monte,Roduco,886
1138,Parq Las Haciendas,Alpena,101
1139,URB Altos De La Fuente,Mcleod,620
1140,URB Arbolada,Penryn,963
1141,URB Bairoa Park,Harker Hts,141
1142,URB Turabo Gdns,New Haven,224
1143,Est Del Turabo,Nolan,372
1144,Mans De Ciudad Jardin Bairoa,Raleigh Brm,612
1145,Parq Del Rio,Mc Gaheysville,33
1146,Repto San Jose,Caswell,150
1147,URB El Valle,Bahner,223
1148,Villa Del Rey 3,Yocana,555
1149,Villa Esperanza,Monroe City,446
1150,Bda Baldorioty,Lyndon Corners,537
1151,Ext Punto Oro,Evansville,601
1152,Hacienda La Matilde,Deerfield,233
1153,Hacienda Las Lomas,Blackwater,949
1154,Jard Del Caribe 5,Tarpon Springs,435
1155,Res Perla Del Bucana,Glenpool,621
1156,URB Bello Horizonte,Ninnekah,444
1157,URB Casa Mia,Andover,299
1158,URB Morell Campos,Caledonia,471
1159,Parc Quebrada Limon,Avon,500
1160,URB Las Delicias,Valleyford,641
1161,Ext Las Delicias 2,North,72
1162,Ext Villa Paraiso,Bolivar,702
1163,Parc El Tuque,Trinidad,130
1164,Sect Las Batatas,Whiterocks,190
1165,URB Canas,Grouseland,588
1166,URB Punto Oro,Mulino,602
1167,Valle Del Rey,Brandon,934
1168,Bo Magueyes,Prayer Town,506
1169,Bosque Senorial,Feather Falls,438
1170,Parc Nueva Vida,Alderton,252
1171,Parc Nuevas Magueyes,Masterson,443
1172,URB La Providencia,Dunbarton,966
1173,URB Rio Canas,Port Wentworth,179
1174,URB San Jose,Williamstown,458
1175,Ext Jard Del Caribe,Greenview,898
1176,Jard Del Caribe,Anandale,635
1177,Sect Las Cucharas,Franklin,363
1178,URB Baldorioty,Water Gap,13
1179,Comunidad Punta Diamante,Gervais,986
1180,Parc Magueyes,Manchester Township,446
1181,Qtas Del Sur,Coconut Creek,218
1182,Res Canas Housing,Watson,589
1183,URB Las Margaritas,Millersville,444
1184,Valle Altamira,Crystal Springs,539
1185,Brisas Del Mar,Saint Benedict,825
1186,Sect La Cotorra,Kenn,798
1187,URB Baramaya,Deering,695
1188,Valle De Andalucia,Office Of Workers Comp,681
1189,Villa Delicias,Veterans Hospital,526
1190,Villa Paraiso,Vlg Of Nagog Woods,103
1191,Villa Rio Canas,Primrose,151
1192,Brisas De Canovanas,Unionvlle Ctr,819
1193,Jard De Palmarejo,Washington Tnshp,204
1194,Parc Monteverde,Manns Harbor,396
1195,Parc San Isidro,Bo Paris,948
1196,URB Forest Plantation,Vernon,591
1197,URB Los Eucaliptos,Acton,594
1198,Parc Central,Fort Meade,863
1199,Qtas Jard De Parmarejo,Frederick,973
1200,URB Country View,Holmes,175
1201,Ext Villas De Loiza,La Porte City,137
1202,Parc Villa Delicias,Miller Cty,615
1203,URB Loiza Valley,Pocono Lake Preserve,996
1204,Ciudad Jardin De Canovanas,Croftville,758
1205,Haciendas De Canovanas,Lawrence,682
1206,URB River Plantation,Jacksn Belden,925
1207,URB River Valley,Garnavillo,148
1208,Villas Doradas,North Beach,629
1209,Canovanas,Hartford City,746
1210,Brisas De Loiza,Lake Oswego,168
1211,Est Del Rio,Duluth,761
1212,URB Las Vegas,Richwood,735
1213,URB Usubal,Cherry Hl Vlg,24
1214,Villas De Loiza,Pelham,703
1215,Villas Del Este,Anvik,225
1216,Jard De Canovanas,Evan,634
1217,URB Pueblo Indio,Saint Clair,206
1218,URB River Valley Pk,Barnum,451
1219,URB Town Pk,Rockton,129
1220,Qtas De Canovanas,Millwood,493
1221,URB Del Pilar,Volga,994
1222,URB Las Haciendas Canovanas,Monroe City,284
1223,URB River Gdns,Nas North Island,441
1224,Qtas De Monserrate,Eastabuchie,390
1225,Bo La Ponderosa,Charleston,600
1226,Jard De Ponce,Livingston,336
1227,URB Glenview Gdns,Georgetown,376
1228,URB Tibes,Red Cliff,250
1229,Alt Del Madrigal,New Salem,826
1230,Sect La Ponderosa,Delmar,103
1231,URB Jaime L Drew,Robey,644
1232,URB La Guadalupe,Persia,669
1233,URB Santa Teresita,Gales Creek,43
1234,Bda Borinquen,Bellevue,614
1235,Ext El Madrigal,Pacific Junction,544
1236,Sect Las Canitas,Sugarcreek Township,945
1237,Bda Ferran,URB San Jorge,227
1238,Bda Tamarindo,Koror Republic Of Palau,936
1239,Ext La Guadalupe,Bo Guavate,848
1240,Ext Santa Teresita,Wind Blow,161
1241,Lomas De Country Club,Wolcott,838
1242,URB El Madrigal,Sheridan,150
1243,URB Nuevo Mameyes,Brooklyn Hgts,582
1244,Valle Alto,Mount Zion,424
1245,Bda Clausells,Moapa,700
1246,Comunidad Playita Ferry,Red Mills,700
1247,Bo Tamarindo,Canaan Lake,938
1248,Sect Clausell,Westfield,875
1249,URB Ferry Barranca,Leesville,788
1250,URB La Lula,Buck Hill Falls,445
1251,URB La Rambla,Caneadea,490
1252,Bo Pueblito Nuevo,Unger,773
1253,Est Del Golf Club,Hamburg,249
1254,Ext Qtas De Monserrate,Ofarrell,426
1255,Ext Valle Alto,Roaring Bk Tp,732
1256,URB Jacaranda,Shumway,346
1257,Villa Dos Rios,Parc La Luisa,215
1258,URB Terra Senorial,Emerson,630
1259,URB Riberas De Bucana,Federal Aviation Administrat,944
1260,Ceiba,S Easton,538
1261,URB Santa Maria,Wdbg,682
1262,Villa Flores,Valeene,920
1263,URB Roosevelt Gdns,Loveland,477
1264,URB Vegas De Ceiba,Brooks Cb,901
1265,Brisas De Ceiba,Sherwood,34
1266,Jard Avila,Waukesha,705
1267,Jard De Ceiba,Vienna,297
1268,Parc Calderonas,Fort Lyon,232
1269,Villa Del Pilar,Jamestown,74
1270,Jard De Ceiba Ii,White Hse Sta,112
1271,Parc Calderonas Nuevas,Warwick,881
1272,Paseo De La Costa,Strykersville,129
1273,Roosevelt Roads,Johnson,679
1274,Roosevelt Rds,Powellsville,60
1275,Res La Ceiba,Westwood,736
1276,URB Celina,Natl Family Opinion,713
1277,Ext Villa Del Pilar,Lower Salem,793
1278,Paseos De Ceiba,Shawano,868
